CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
100000580,209,20675,123293,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1220,NAMED,MPCAJMNYNOGXPB-SLPGGIOYSA-N,O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O,"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",154-58-5,,HMDB0002712,C07326,64960,Neg
100000616,402,52449,208070,Lipid,Phosphatidylinositol (PI),2557,NAMED,KRTOMQDUKGRFDJ-YKOKTLGVSA-N,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),383907-33-3,21403055,HMDB0009815,,,Pos Late
100000626,402,34445,158668,Lipid,Sphingosines,3162,NAMED,DUYSYHSSBDVJSM-KRWOKUGFSA-N,OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O,sphingosine 1-phosphate,sphingosine 1-phosphate,26993-30-6,4446673,HMDB0000277,C06124,5283560,Pos Late
100000639,402,19265,180966,Lipid,Phosphatidylserine (PS),2506,NAMED,AJFWREUFUPEYII-PAHWMLEVSA-N,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O,1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-GPS (18:0/18:1),,7826037,HMDB0010163,,9547087,Pos Late
100000656,209,19324,128173,Lipid,Lysophospholipid,2722,NAMED,MXAFDFDAIFZFET-CLBYPKMISA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-stearoyl-GPI (18:0),1-stearoyl-GPI (18:0),796963-93-4,21403067,HMDB0240261,,"71581135,42607495",Neg
100000657,402,19130,164201,Lipid,Phosphatidylcholine (PC),2279,NAMED,KILNVBDSWZSGLL-KXQOOQHDSA-N,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,"1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,398235,HMDB0000564,D03585,452110,Pos Late
100000665,209,44675,126139,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1564,NAMED,MBMBGCFOFBJSGT-KUBAVDMBSA-N,CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,docosahexaenoate (DHA; 22:6n3),docosahexaenoate (DHA; 22:6n3),6217-54-5,393183,HMDB0002183,C06429,445580,Neg
100000672,402,19258,164196,Lipid,Phosphatidylcholine (PC),2263,NAMED,RFVFQQWKPSOBED-PSXMRANNSA-N,CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),69525-80-0,114798,HMDB0007869,,129657,Pos Late
100000673,209,21320,127565,Xenobiotics,Drug - Antibiotic,5480,NAMED,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,FC1=C(N2CCN(C)CC2)C3=C4C(C(C(C(O)=O)=CN4C(C)CO3)=O)=C1,ofloxacin,ofloxacin,82419-36-1,4422,HMDB0015296,"D00453,C07321,DG00616",4583,Neg
100000706,209,22132,124683,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",347,NAMED,LVRFTAZAXQPQHI-UHFFFAOYSA-N,OC(C(CC(C)C)O)=O,alpha-hydroxyisocaproate,alpha-hydroxyisocaproate,10303-64-7,75520,"HMDB0000665,HMDB00746,HMDB0000624",C03264,"83697,92779,439960",Neg
100000708,209,44656,126996,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",351,NAMED,GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(O)=O,isovalerate (i5:0),isovalerate (C5),503-74-2,10001,HMDB0000718,C08262,10430,Neg
100000711,209,44620,126992,Xenobiotics,Benzoate Metabolism,4518,NAMED,HOFGLAYWQRGTKC-UHFFFAOYSA-N,O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O,4-acetylphenol sulfate,4-acetylphenyl sulfate,,3872009,,,4684006,Neg
100000715,400,48114,157704,Amino Acid,Guanidino and Acetamido Metabolism,562,NAMED,CHJJGSNFBQVOTG-UHFFFAOYSA-N,N=C(N)NC,1-methylguanidine,1-methylguanidine,22661-87-6,28576,HMDB0001522,C02294,10111,Pos Early
100000732,402,64535,238653,Xenobiotics,Drug - Psychoactive,5922,NAMED,DIWRORZWFLOCLC-UHFFFAOYSA-N,O=C(N1)C(O)N=C(C2=CC=CC=C2Cl)C3=C1C=CC(Cl)=C3,lorazepam,lorazepam,846-49-1,3821,HMDB0014332,D00365,3958,Pos Late
100000740,402,38301,159035,Xenobiotics,Drug - Respiratory,5949,NAMED,MKXZASYAUGDDCJ-CGTJXYLNSA-N,[H][C@]1([C@H]2C3)[C@@](CCCC1)(CCN2C)C4=C3C=CC(OC)=C4,dextromethorphan,dextromethorphan,18046-32-7,13109865,HMDB0001920,"D03744,DG01078,C06947",5360696,Pos Late
100000743,209,22036,126061,Lipid,"Fatty Acid, Monohydroxy",1961,NAMED,JKRDADVRIYVCCY-UHFFFAOYSA-N,O=C(C(CCCCCC)O)O,2-hydroxyoctanoate,2-hydroxyoctanoate,617-73-2,84994,HMDB0002264,,"94180,6995013,5312860",Neg
100000773,209,22001,126860,Lipid,"Fatty Acid, Monohydroxy",1981,NAMED,NDPLAKGOSZHTPH-UHFFFAOYSA-N,OC(CC(O)=O)CCCCC,3-hydroxyoctanoate,3-hydroxyoctanoate,88930-08-9,24791,HMDB0001954,C20793,26613,Neg
100000774,209,22130,124681,Amino Acid,Phenylalanine Metabolism,151,NAMED,VOXXWSYKYCBWHO-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=CC=C1,phenyllactate (PLA),phenyllactate (PLA),828-01-3,3715,"HMDB0000779,HMDB0000563",C05607,3848,Neg
100000776,402,44681,159624,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1865,NAMED,XOMRRQXKHMYMOC-UHFFFAOYSA-N,[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O,palmitoylcarnitine (C16),palmitoylcarnitine (C16),6865-14-1,448,HMDB0000222,C02990,461,Pos Late
100000779,209,22290,128191,Xenobiotics,Drug - Neurological,5814,NAMED,NIJJYAXOARWZEE-UHFFFAOYSA-N,O=C(O)C(CCC)CCC,valproate,valproate (2-propylpentanoate),99-66-1,3009,HMDB0001877,C07185,3121,Neg
100000781,400,32328,155906,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1845,NAMED,VVPRQWTYSNDTEA-UHFFFAOYSA-N,O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C,hexanoylcarnitine (C6),hexanoylcarnitine (C6),6920-35-0,4932273,HMDB0000756,,6426853,Pos Early
100000784,400,22206,155811,Xenobiotics,Food Component/Plant,5076,NAMED,DATAGRPVKZEWHA-YFKPBYRVSA-N,N[C@@H](CCC(NCC)=O)C(O)=O,theanine,theanine,3081-61-6,388498,HMDB0034365,C01047,439378,Pos Early
100000787,305,22185,147184,Amino Acid,Alanine and Aspartate Metabolism,37,NAMED,OTCCIMWXFLJLIA-BYPYZUCNSA-N,OC([C@@H](NC(C)=O)CC(O)=O)=O,N-acetylaspartate (NAA),N-acetylaspartate (NAA),"997-55-7,997-55-7",58576,HMDB0000812,C01042,65065,Polar
100000792,209,32425,124935,Lipid,Androgenic Steroids,3338,NAMED,CZWCKYRVOZZJNM-DYIPZHMLSA-N,[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H],dehydroepiandrosterone sulfate (DHEA-S),dehydroepiandrosterone sulfate (DHEA-S),651-48-9,12074,HMDB0001032,C04555,12594,Neg
100000802,400,32198,155890,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",1841,NAMED,RDHQFKQIGNGIED-MRVPVSSYSA-N,C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O,acetylcarnitine (C2),acetylcarnitine (C2),5080-50-2,5406074,HMDB0000201,C02571,7045767,Pos Early
100000808,305,22176,165753,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",461,NAMED,NOKPBJYHPHHWAN-REOHCLBHSA-N,N[C@H](C(O)=O)CSS(O)(=O)=O,cysteine s-sulfate,cysteine s-sulfate,1637-71-4,102939,HMDB0000731,C05824,115015,Polar
100000840,209,20693,143841,Xenobiotics,Food Component/Plant,5208,NAMED,ROBFUDYVXSDBQM-UHFFFAOYSA-N,O=C(C(O)C(O)=O)O,tartronate (hydroxymalonate),tartronate (hydroxymalonate),80-69-3,44,HMDB0035227,C02287,45,Neg
100000841,209,20694,143843,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4357,NAMED,MUBZPKHOEPUJKR-UHFFFAOYSA-N,O=C(O)C(O)=O,oxalate (ethanedioate),oxalate (ethanedioate),144-62-7,946,HMDB0002329,C00209,971,Neg
100000846,305,20699,146508,Xenobiotics,Food Component/Plant,4896,NAMED,UNXHWFMMPAWVPI-UHFFFAOYSA-N,OCC(O)C(CO)O,erythritol,erythritol,149-32-6,13835932,HMDB0002994,C00503,222285,Polar
100000861,400,21132,155745,Xenobiotics,Food Component/Plant,4774,NAMED,GGOZGYRTNQBSSA-UHFFFAOYSA-N,OC1=NC=CC=C1O,"2,3-dihydroxypyridine","2,3-dihydroxypyridine",16867-04-2,26153,,,28115,Pos Early
100000863,305,21134,147544,Lipid,"Fatty Acid, Dicarboxylate",1666,NAMED,WNLRTRBMVRJNCN-UHFFFAOYSA-N,OC(CCCCC(O)=O)=O,adipate (C6-DC),adipate,124-04-9,191,HMDB0000448,C06104,196,Polar
100000870,209,21151,124899,Xenobiotics,Food Component/Plant,5043,NAMED,CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=S(C1=CC=CC=C1C2=O)(N2)=O,saccharin,saccharin,81-07-2,4959,HMDB0029723,C12283,5143,Neg
100000900,400,21025,155725,Xenobiotics,Chemical,6166,NAMED,NBZBKCUXIYYUSX-UHFFFAOYSA-N,O=C(O)CNCC(O)=O,iminodiacetate (IDA),iminodiacetate (IDA),142-73-4,8557,HMDB0011753,C19911,8897,Pos Early
100000924,209,21184,126057,Lipid,Monoacylglycerol,2856,NAMED,RZRNAYUHWVFMIP-KTKRTIGZSA-N,O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,1-oleoylglycerol (18:1),1-oleoylglycerol (18:1),111-03-5,4446588,HMDB0011567,,5283468,Neg
100000936,209,44526,124713,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",423,NAMED,QHKABHOOEWYVLI-UHFFFAOYSA-N,OC(C(C(C)C)=O)=O,3-methyl-2-oxobutyrate,3-methyl-2-oxobutyrate,3715-29-5,48,HMDB0000019,C00141,49,Neg
100000939,305,21049,146510,Xenobiotics,Food Component/Plant,4764,NAMED,TWNIBLMWSKIRAT-UHFFFAOYSA-N,OC1C(CO2)OC2C(O)C1O,"1,6-anhydroglucose","1,6-anhydroglucose",498-07-7,9587432,HMDB0000640,,2724705,Polar
100000943,209,21232,126858,Lipid,Monoacylglycerol,2872,NAMED,UPWGQKDVAURUGE-KTKRTIGZSA-N,O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC,2-oleoylglycerol (18:1),2-oleoylglycerol (18:1),3443-84-3,4478086,HMDB0011537,,5319879,Neg
100000961,400,22137,155792,Amino Acid,Urea cycle; Arginine and Proline Metabolism,493,NAMED,QUOGESRFPZDMMT-YFKPBYRVSA-N,N[C@H](C(O)=O)CCCCNC(N)=N,homoarginine,homoarginine,156-86-5,8732,HMDB0000670,C01924,9085,Pos Early
100000963,305,22138,147550,Amino Acid,Urea cycle; Arginine and Proline Metabolism,494,NAMED,XIGSAGMEBXLVJJ-YFKPBYRVSA-N,N[C@H](C(O)=O)CCCCNC(N)=O,homocitrulline,homocitrulline,1190-49-4,58582,HMDB0000679,C02427,65072,Polar
100000987,209,32506,125864,Lipid,Monoacylglycerol,2873,NAMED,IEPGNWMPIFDNSD-HZJYTTRNSA-N,O=C(OC(CO)CO)CCCCCCC/C=C\C/C=C\CCCCC,2-linoleoylglycerol (18:2),2-linoleoylglycerol (18:2),3443-82-1,4517636,HMDB0011538,,5365676,Neg
100000997,209,22053,123301,Lipid,"Fatty Acid, Monohydroxy",1983,NAMED,FYSSBMZUBSBFJL-UHFFFAOYSA-N,OC(CC(O)=O)CCCCCCC,3-hydroxydecanoate,3-hydroxydecanoate,5561-87-5,24790,HMDB0002203,,26612,Neg
100000998,400,22158,155797,Amino Acid,Glutamate Metabolism,63,NAMED,XFTRTWQBIOMVPK-UHFFFAOYSA-N,OC(CC(O)(C)C(O)=O)=O,citramalate,citramalate,6236-10-8,1051,HMDB0000426,C00815,1081,Pos Early
100001002,209,22163,124685,Xenobiotics,Chemical,6157,NAMED,KCXVZYZYPLLWCC-UHFFFAOYSA-N,O=C(CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)O,EDTA,EDTA,60-00-4,5826,HMDB0015109,C00284,6049,Neg
100001006,400,27710,155837,Amino Acid,"Glycine, Serine and Threonine Metabolism",2,NAMED,OKJIRPAQVSHGFK-UHFFFAOYSA-N,O=C(O)C(NC(C)=O)[H],N-acetylglycine,N-acetylglycine,543-24-8,10507,HMDB0000532,,10972,Pos Early
100001007,305,27731,147186,Carbohydrate,Pentose Metabolism,1263,NAMED,QXKAIJAYHKCRRA-BXXZVTAOSA-N,OC([C@H](O)[C@H](O)[C@H](O)CO)=O,ribonate,ribonate,5336-08-3,4574162,HMDB0000867,C01685,5460677,Polar
100001022,305,27738,146524,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4354,NAMED,JPIJQSOTBSSVTP-UHFFFAOYSA-N,O=C(O)C(O)([H])C([H])(O)CO,threonate,threonate,70753-61-6,133224,"HMDB0062620,HMDB0000943",C01620,"151152,5460407",Polar
100001026,305,27719,152158,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1373,NAMED,RGHNJXZEOKUKBD-MGCNEYSASA-N,O[C@H]([C@H]([C@H]([C@@H](CO)O)O)O)C(O)=O,galactonate,galactonate,299-28-5,114198,HMDB0000565,"C00880,C15930","12310779,128869",Polar
100001033,402,27414,164190,Lipid,Sterol,3222,NAMED,KZJWDPNRJALLNS-XGEQACPASA-N,C[C@@]1([C@]([C@@H](CC[C@@H]([C@H](C)C)CC)C)([H])CC2)[C@@]2([H])[C@@](CC=C3[C@@]4(CC[C@H](O)C3)C)([H])[C@@]4([H])CC1,beta-sitosterol,beta-sitosterol,83-46-5,192962,HMDB0000852,C01753,222284,Pos Late
100001034,209,27513,126866,Amino Acid,Tryptophan Metabolism,299,NAMED,SEOVTRFCIGRIMH-UHFFFAOYSA-N,OC(CC1=CNC2=C1C=CC=C2)=O,indoleacetate,indoleacetate,6505-45-9,780,HMDB0000197,C00954,802,Neg
100001040,209,27447,126071,Lipid,Monoacylglycerol,2857,NAMED,WECGLUPZRHILCT-HZJYTTRNSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O,1-linoleoylglycerol (18:2),1-linoleoylglycerol (18:2),2277-28-3,4446589,HMDB0011568,,5283469,Neg
100001048,209,33419,125868,Lipid,Monoacylglycerol,2869,NAMED,BBNYCLAREVXOSG-UHFFFAOYSA-N,OCC(CO)OC(CCCCCCCCCCCCCCC)=O,2-palmitoylglycerol (16:0),2-palmitoylglycerol (16:0),23470-00-0,110006,HMDB0011533,,123409,Neg
100001051,209,30460,124693,Amino Acid,Histidine Metabolism,71,NAMED,BRMWTNUJHUMWMS-LURJTMIESA-N,N[C@H](C(O)=O)CC1=CN(C)C=N1,1-methylhistidine,1-methylhistidine,332-80-9,83153,HMDB0000001,C01152,92105,Neg
100001054,400,32412,155935,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1769,NAMED,QWYFHHGCZUCMBN-SECBINFHSA-N,CCCC(O[C@H](CC([O-])=O)C[N+](C)(C)C)=O,butyrylcarnitine (C4),butyrylcarnitine (C4),25576-40-3,184820,HMDB0002013,C02862,439829,Pos Early
100001055,400,33441,156017,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",426,NAMED,LRCNOZRCYBNMEP-VIFPVBQESA-N,CC(C)C(O[C@@H](CC([O-])=O)C[N+](C)(C)C)=O,isobutyrylcarnitine (C4),isobutyrylcarnitine (C4),25518-49-4,,HMDB0000736,,168379,Pos Early
100001063,209,31904,125786,Lipid,Secondary Bile Acid Metabolism,3538,NAMED,RHCPKKNRWFXMAT-RRWYKFPJSA-N,[H][C@]1([C@]2(C)[C@](CC1)([H])[C@]3([H])C(C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)=O)[C@H](C)CCC(O)=O,7-ketodeoxycholate,7-ketodeoxycholate,911-40-0,163659,HMDB0000391,,188292,Neg
100001064,209,31912,151471,Lipid,Secondary Bile Acid Metabolism,3500,NAMED,XBSQTYHEGZTYJE-PGVYWSLXSA-N,O[C@@H](C[C@]1(CC[C@]([C@@]([H])2CC3)([H])[C@](CC[C@@]2(C)[C@]3([H])[C@@H](CCC(NCC(O)=O)=O)C)4[H])[H])CC[C@@]14C,glycolithocholate,glycolithocholate,474-74-8,103116,HMDB0000698,C15557,115245,Neg
100001073,209,31591,126075,Lipid,Androgenic Steroids,3351,NAMED,ZMITXKRGXGRMKS-HLUDHZFRSA-N,C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O,androsterone sulfate,androsterone sulfate,2479-86-9,19988780,HMDB0002759,,159663,Neg
100001081,400,31675,155868,Amino Acid,Glutamate Metabolism,60,NAMED,HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1CCCN1,2-pyrrolidinone,2-pyrrolidinone,616-45-5,11530,HMDB0002039,,12025,Pos Early
100001083,209,32405,125818,Amino Acid,Tryptophan Metabolism,305,NAMED,GOLXRNDWAUTYKT-UHFFFAOYSA-N,OC(CCC1=CNC2=C1C=CC=C2)=O,indolepropionate,indolepropionate,830-96-6,3613,HMDB0002302,,3744,Neg
100001086,209,31536,125774,Xenobiotics,Food Component/Plant,4969,NAMED,KSPQDMRTZZYQLM-UHFFFAOYSA-N,O=C(NCC(O)=O)C1=CC=CO1,N-(2-furoyl)glycine,N-(2-furoyl)glycine,"5657-19-2,5657-19-2",20549,HMDB0000439,,21863,Neg
100001092,400,32401,155930,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4323,NAMED,WWNNZCOKKKDOPX-UHFFFAOYSA-N,C[N+]1=CC(C([O-])=O)=CC=C1,trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),535-83-1,5369,HMDB0000875,C01004,5570,Pos Early
100001102,209,32388,125800,Lipid,"Fatty Acid, Dicarboxylate",1687,NAMED,TVIDDXQYHWJXFK-UHFFFAOYSA-N,OC(CCCCCCCCCCC(O)=O)=O,dodecanedioate (C12-DC),dodecanedioate (C12),693-23-2,12213,HMDB0000623,C02678,12736,Neg
100001103,400,33487,156024,Amino Acid,Glutamate Metabolism,54,NAMED,ZGEYCCHDTIDZAE-UHFFFAOYSA-N,O=C(CCC(C(O)=O)N)OC,"glutamate, gamma-methyl ester","glutamate, gamma-methyl ester","1499-55-4,1499-55-4",66546,HMDB0061715,,68662,Pos Early
100001104,209,32390,125802,Amino Acid,Tyrosine Metabolism,163,NAMED,CAHKINHBCWCHCF-JTQLQIEISA-N,OC1=CC=C(C[C@@H](C(O)=O)NC(C)=O)C=C1,N-acetyltyrosine,N-acetyltyrosine,537-55-3,61606,HMDB0000866,,68310,Neg
100001106,209,32391,125804,Xenobiotics,Xanthine Metabolism,4597,NAMED,OTSBKHHWSQYEHK-UHFFFAOYSA-N,CN1C(N(C(N2)=C(C1=O)NC2=O)C)=O,"1,3-dimethylurate","1,3-dimethylurate",944-73-0,63527,HMDB0001857,,70346,Neg
100001108,400,32445,155950,Xenobiotics,Xanthine Metabolism,4602,NAMED,GMSNIKWWOQHZGF-UHFFFAOYSA-N,O=C1N(C)C2=C(N=CN2)C(N1)=O,3-methylxanthine,3-methylxanthine,1076-22-8,63805,HMDB0001886,C16357,70639,Pos Early
100001112,209,32457,151499,Lipid,"Fatty Acid, Monohydroxy",1986,NAMED,MUCMKTPAZLSKTL-UHFFFAOYSA-N,OC(CC(CCCCCCCCC)O)=O,3-hydroxylaurate,3-hydroxylaurate,53941-38-1,85026,HMDB0000387,,94216,Neg
100001121,209,31555,124697,Cofactors and Vitamins,Vitamin B6 Metabolism,4452,NAMED,HXACOUQIXZGNBF-UHFFFAOYSA-N,OC1=C(C(O)=O)C(CO)=CN=C1C,pyridoxate,pyridoxate,82-82-6,6467,HMDB0000017,C00847,6723,Neg
100001126,209,43829,125876,Peptide,Gamma-glutamyl Amino Acid,647,NAMED,AQAKHZVPOOGUCK-XPUUQOCRSA-N,O=C(N[C@H]([C@@](O)=O)C(C)C)CC[C@@H]([C@](O)=O)N,gamma-glutamylvaline,gamma-glutamylvaline,2746-34-1,,HMDB0011172,,7015683,Neg
100001129,305,31539,146936,Amino Acid,"Glycine, Serine and Threonine Metabolism",23,NAMED,FCXZBWSIAGGPCB-YFKPBYRVSA-N,N[C@H](C(O)=O)CCOC(C)=O,O-acetylhomoserine,O-acetylhomoserine,7540-67-2,388506,HMDB0029423,C01077,439389,Polar
100001145,209,31943,125798,Lipid,"Fatty Acid, Monohydroxy",1985,NAMED,OQYZCCKCJQWHIE-UHFFFAOYSA-N,OC(CC(O)CCCCCCC(O)=O)=O,3-hydroxysebacate,3-hydroxysebacate,73141-46-5,2285525,HMDB0000350,,3017884,Neg
100001148,209,31938,125792,Lipid,"Fatty Acid, Monohydroxy",1996,NAMED,YDCRNMJQROAWFT-UHFFFAOYSA-N,CC(O)CCCC(O)=O,5-hydroxyhexanoate,5-hydroxyhexanoate,44843-89-2,149280,"HMDB0000409,HMDB0000525",,170748,Neg
100001149,400,31940,155885,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",361,NAMED,PFWQSHXPNKRLIV-UHFFFAOYSA-N,O=C(O)CNC(/C=C(C)/C)=O,3-methylcrotonylglycine,3-methylcrotonylglycine,33008-07-0,148224,HMDB0000459,C20828,169485,Pos Early
100001150,305,31932,147789,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1773,NAMED,WOMAZEJKVZLLFE-UHFFFAOYSA-N,O=C(CC)NCC(O)=O,propionylglycine,propionylglycine (C3),21709-90-0,89122,HMDB0000783,,98681,Polar
100001151,209,31850,125782,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1770,NAMED,WPSSBBPLVMTKRN-UHFFFAOYSA-N,O=C(CNC(CCC)=O)O,butyrylglycine,butyrylglycine (C4),20208-73-5,79766,HMDB0000808,,88412,Neg
100001155,400,31928,155879,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",399,NAMED,HOACIBQKYRHBOW-UHFFFAOYSA-N,O=C(O)CNC(C(C)CC)=O,2-methylbutyrylglycine,2-methylbutyrylglycine (C5),52320-67-9,168243,HMDB0000339,,193872,Pos Early
100001162,400,32452,155955,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1772,NAMED,UFAHZIUFPNSHSL-UHFFFAOYSA-N,[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O,propionylcarnitine (C3),propionylcarnitine (C3),17298-37-2,96904,HMDB0000824,C03017,107738,Pos Early
100001167,400,35127,156146,Amino Acid,Urea cycle; Arginine and Proline Metabolism,515,NAMED,ONPXCLZMBSJLSP-ALKRTJFJSA-N,OC([C@H]1N(C([C@H]2NCCC2)=O)CC(O)C1)=O,pro-hydroxy-pro,prolylhydroxyproline,18684-24-7,9847785,HMDB0006695,,11902893,Pos Early
100001170,209,32397,125810,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",405,NAMED,ZMZQVAUJTDKQGE-UHFFFAOYSA-N,O=C(O)C(CC)CO,3-hydroxy-2-ethylpropionate,3-hydroxy-2-ethylpropionate,4374-62-3,164207,HMDB0000396,,188979,Neg
100001178,209,31787,142911,Lipid,"Fatty Acid, Dicarboxylate",1706,NAMED,WMCQWXZMVIETAO-UHFFFAOYSA-N,CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),86879-39-2,110498,HMDB0061112,,123979,Neg
100001181,209,32504,125862,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1563,NAMED,YUFFSWGQGVEMMI-JLNKQSITSA-N,O=C(O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,docosapentaenoate (n3 DPA; 22:5n3),docosapentaenoate (DPA; 22:5n3),2234-74-4,,"HMDB0006528,HMDB0001976",C16513,6441454,Neg
100001182,209,32415,125824,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1578,NAMED,HVGRZDASOHMCSK-AVQMFFATSA-N,CCCCC/C=C/C/C=C/CCCCCCCCCCCC(O)=O,docosadienoate (22:2n6),docosadienoate (22:2n6),7370-49-2,4445934,HMDB0061714,C16533,5282807,Neg
100001193,209,32980,125866,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1576,NAMED,TWSWSIQAPQLDBP-CGRWFSSPSA-N,O=C(CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)O,adrenate (22:4n6),adrenate (22:4n6),2091-25-0,4445971,HMDB0002226,C16527,"5282844,5497181",Neg
100001197,209,32497,125854,Lipid,Medium Chain Fatty Acid,1501,NAMED,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,O=C(CCCCCCCCC=C)O[H],10-undecenoate (11:1n1),10-undecenoate (11:1n1),1333-28-4,10771160,HMDB0033724,C13910,14891,Neg
100001198,209,32418,125828,Lipid,Long Chain Monounsaturated Fatty Acid,1527,NAMED,YWWVWXASSLXJHU-WAYWQWQTSA-N,O=C(CCCCCCC/C=C\CCCC)O,myristoleate (14:1n5),myristoleate (14:1n5),544-64-9,4444564,HMDB0002000,C08322,5281119,Neg
100001207,305,32349,146946,Amino Acid,Histidine Metabolism,97,NAMED,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,O=C(O)CC1=CNC=N1,4-imidazoleacetate,4-imidazoleacetate,645-65-8,86856,HMDB0002024,C02835,96215,Polar
